iter	MultiClass
0	1.081404104
1	1.068160253
2	1.055938997
3	1.045332829
4	1.033134157
5	1.02165122
6	1.012136476
7	1.001779676
8	0.9915835025
9	0.9819411268
10	0.9740122464
11	0.9667690837
12	0.9598327062
13	0.9527211273
14	0.9474814567
15	0.9403379589
16	0.9343722469
17	0.9275266624
18	0.9224894343
19	0.9163804615
20	0.9112417972
21	0.9065710688
22	0.8989616646
23	0.8941202152
24	0.888811248
25	0.8847680173
26	0.8798527032
27	0.875737791
28	0.8709471625
29	0.8665311976
30	0.8617757232
31	0.8584309151
32	0.8549223797
33	0.8502177538
34	0.8455676628
35	0.8416980595
36	0.8382108582
37	0.8340555509
38	0.8308602221
39	0.8272096286
40	0.8230107418
41	0.8199464328
42	0.8167673474
43	0.8133122154
44	0.8102209891
45	0.8078779579
46	0.8043305725
47	0.8001995364
48	0.7974172788
49	0.7945985643
50	0.7922463322
51	0.7890672067
52	0.7866943744
53	0.7842940395
54	0.7817106301
55	0.7791306682
56	0.7765466911
57	0.7741365199
58	0.771913214
59	0.7697616515
60	0.7671210104
61	0.7643398244
