iter	Passed	Remaining
0	5	550
1	8	414
2	11	367
3	14	341
4	17	325
5	20	314
6	22	302
7	25	292
8	27	283
9	30	277
10	33	272
11	35	262
12	37	253
13	40	246
14	42	239
15	44	233
16	46	227
17	48	221
18	50	216
19	52	211
20	55	206
21	57	202
22	59	198
23	61	194
24	63	190
25	65	187
26	68	184
27	70	180
28	72	177
29	74	174
30	77	172
31	79	169
32	81	165
33	83	162
34	86	159
35	88	156
36	90	154
37	92	151
38	95	148
39	97	145
40	99	143
41	101	140
42	103	137
43	105	134
44	107	131
45	110	129
46	112	126
47	114	123
48	116	121
49	118	118
50	120	116
51	122	113
52	125	110
53	127	108
54	129	106
55	131	103
56	133	101
57	135	98
58	138	95
59	140	93
60	142	90
61	144	88
